Column Name, P-value, KS Score, Group 1 Min, Group 1 Q1, Group 1 Median, Group 1 Q3, Group 1 Max, Group 2 Min, Group 2 Q1, Group 2 Median, Group 2 Q3, Group 2 Max
K06260, 0.0000067426817970117625, 0.8776223776223775, 0, 0, 0, 0.00000292164332477, 0.0000803062378417, 0.00000190349336979, 0.000013423066955, 0.0000335504526899, 0.0000444543113607, 0.000074330118833
K01337, 0.000024043332868761702, 0.832167832167832, 0, 0, 2.66270286034e-7, 0.00000207430739781, 0.0000353873512982, 0, 0.00000826354693826, 0.0000164368107681, 0.0000250469133122, 0.0000981932612304
K08743, 0.000024043332868761702, 0.832167832167832, 0, 0, 0, 0, 0.0000111012933843, 0, 0.00000574314884211, 0.00000801839882262, 0.0000195017539916, 0.0000516777833991
K00318, 0.000024043332868761702, 0.832167832167832, 0, 0, 0, 0.00000105016643536, 0.0000209573660351, 0, 0.00000549048476466, 0.00000833626179114, 0.0000132038087298, 0.0000447435377988
K00294, 0.00008013059478606532, 0.7867132867132866, 0, 1e-9, 0.000002420989263, 0.00000704226667971, 0.0000427811864798, 0, 0.0000222862419998, 0.0000380620979131, 0.0000617207597859, 0.000163122861153
K01364, 0.00012504300754978548, 0.7692307692307692, 0, 0.00001021616434, 0.0000152448660254, 0.000024229157717, 0.0000796140470227, 0.0000245295793976, 0.0000555246996823, 0.0000885064969613, 0.000153528205075, 0.000534571708991
K06130, 0.00012504300754978548, 0.7692307692307692, 0, 0, 0, 1e-9, 0.000029620194404, 3.41666280673e-7, 0.00000805918275575, 0.0000122089595948, 0.0000226657919533, 0.0000803679218417
K14385, 0.00012504300754978548, 0.7692307692307692, 1.7645182073e-7, 0.0000110042248406, 0.000013780123368, 0.0000203481423459, 0.0000734168927518, 0.0000225974320705, 0.0000317685704033, 0.0000369607839867, 0.0000637621311397, 0.0000942268982336
K06370, 0.00012504300754978548, 0.7692307692307692, 4.82202330607e-7, 0.00000828564861206, 0.0000102580602431, 0.0000134864272392, 0.0000299270475828, 0.000013606049337, 0.0000162050333079, 0.0000227319787017, 0.0000247167756987, 0.0000453748526341
K01789, 0.00017723166853189642, 0.7552447552447551, 0, 0, 0.00000853763582048, 0.0000126682700351, 0.0000525796763324, 0, 0.0000281683734216, 0.0000490251453255, 0.0000599181782144, 0.000126323641712
K15012, 0.00017723166853189642, 0.7552447552447551, 0, 0, 7.11794807611e-7, 0.00000185395816962, 0.0000456651398351, 0, 0.00000649660213222, 0.0000158040897735, 0.0000298562568744, 0.000150046410261
K10462, 0.00017723166853189642, 0.7552447552447551, 0, 0, 0, 6.47804691519e-7, 0.00000923988839262, 0, 0.00000215706523018, 0.00000523366492712, 0.0000102576875929, 0.0000322782608876
K00870, 0.00024959952626635307, 0.741258741258741, 1e-9, 0.00000565277634196, 0.0000113448193372, 0.0000166480480683, 0.000026398048357, 0.0000109987525279, 0.0000244029734458, 0.0000328159407709, 0.0000420470807496, 0.000125125105445
K15527, 0.00024959952626635307, 0.741258741258741, 0, 0, 0, 4.02378476428e-7, 0.0000105077417242, 0, 0.00000905701765765, 0.0000164258156687, 0.0000249397375527, 0.000123924109129
K12354, 0.00024959952626635307, 0.741258741258741, 0, 0.00000193582445659, 0.00000281645836881, 0.00000466544766248, 0.000013478198403, 1.92048709524e-7, 0.00000820050002834, 0.0000126584030588, 0.0000208917310714, 0.0000338781015903
K13774, 0.00024959952626635307, 0.741258741258741, 0, 0, 4.75745049457e-7, 0.00000212633256167, 0.000025045300336, 2.8185773002e-7, 0.00000729935598092, 0.0000129630399134, 0.0000177168472937, 0.0000698376431739
K09859, 0.0003492743576777313, 0.7272727272727271, 0, 0, 0, 0, 2.59808633376e-7, 0, 0, 0.00000340433515944, 0.00000538873274666, 0.0000115632375802
K11165, 0.0003492743576777313, 0.7272727272727271, 0, 0, 0, 2.29473583937e-7, 0.00000767547964406, 0, 0.00000377708478029, 0.0000132233129271, 0.0000197318362795, 0.0000369182805949
K05681, 0.00037950119227014856, 0.7237762237762237, 0, 0, 0, 0.00000310254959516, 0.0000682093730075, 0, 0.00000653229874661, 0.0000121271369114, 0.0000175286272693, 0.0000558736874398
K03857, 0.00037950119227014856, 0.7237762237762237, 4.47381490604e-7, 0.0000732667664852, 0.000102391574491, 0.000115203771209, 0.000219854099422, 0.000101725504687, 0.000156356716107, 0.000188464405889, 0.000223238600977, 0.000691306327714
K15738, 0.00037950119227014856, 0.7237762237762237, 0.000083958716883, 0.000185937103436, 0.00022394964921, 0.000241417366621, 0.000309006181641, 0.000149375834221, 0.000262753144166, 0.000292374205107, 0.000326398554959, 0.000481310720151
K03445, 0.00037950119227014856, 0.7237762237762237, 0, 0, 0.00000100280685656, 0.0000050403693189, 0.000355482708357, 0.00000297992443019, 0.00000872886490218, 0.0000169395440383, 0.0000207388696193, 0.0000486838407123
K07399, 0.0005268193700739277, 0.7097902097902097, 0, 0.0000046539650502, 0.00000683162111479, 0.0000167224090625, 0.0000303430343815, 0.00000676252852106, 0.0000233249444689, 0.0000313942983543, 0.0000442997903257, 0.0000628649834254
K05986, 0.0005268193700739277, 0.7097902097902097, 0, 0, 0, 0.0000016232320942, 0.0000238619317298, 0, 0.00000577052914902, 0.000018987629061, 0.000039118848124, 0.000263931227964
K07083, 0.0005268193700739277, 0.7097902097902097, 0, 0, 0, 1e-9, 0.00000595259847726, 0, 0.00000217021960486, 0.00000830211008676, 0.0000139110901583, 0.000116748520168
K13874, 0.0005268193700739277, 0.7097902097902097, 0, 0, 0, 6.17331442359e-7, 0.0000250243769439, 0, 0.00000398926922886, 0.00000912211089368, 0.0000123184870884, 0.0000583957035037
K13540, 0.0005268193700739277, 0.7097902097902097, 0, 1e-9, 0.00000214737662983, 0.00000279754023715, 0.0000286548754191, 0, 0.00000485623753688, 0.00000869729876069, 0.0000104329138088, 0.0000288214825229
K08589, 0.0005268193700739277, 0.7097902097902097, 0, 0, 0, 0.00000137913038846, 0.0000121993544197, 0, 0.00000202218925636, 0.00000676392854035, 0.0000143664125344, 0.0000546924819558
K07218, 0.0005268193700739277, 0.7097902097902097, 0, 0, 0, 0, 0.0000221672423242, 0, 0.00000219100041315, 0.00000483953932827, 0.00000963314382654, 0.0000197501968077
K04437, 0.0005268193700739277, 0.7097902097902097, 0, 0, 0, 1e-9, 0.00000123968248767, 0, 4.42390534933e-7, 0.00000121932578773, 0.0000026307639949, 0.00000778282214129
K14210, 0.0005268193700739277, 0.7097902097902097, 9.92490157204e-8, 0.00000199052711537, 0.0000059153404282, 0.00000979369814157, 0.000045673722281, 0.00000735256326892, 0.0000166451978319, 0.0000226155713811, 0.0000258972324076, 0.000105583632141
K07004, 0.0005268193700739277, 0.7097902097902097, 4.45463557838e-7, 0.0000321729930515, 0.0000499029797745, 0.0000608880944372, 0.000102362128213, 0.0000382798447813, 0.0000729843846021, 0.0000921519425959, 0.000108914605721, 0.000156171315757
K01412, 0.0005268193700739277, 0.7097902097902097, 0.00000277739078433, 0.000132070921455, 0.000222544106613, 0.000284940865845, 0.000382775591792, 0.000238499503261, 0.000325231675339, 0.000372065136817, 0.000420952809737, 0.000580135171049
K06019, 0.0005268193700739277, 0.7097902097902097, 0.00000225519284198, 0.0000968678860591, 0.000140242843633, 0.000173386997015, 0.000212136651518, 0.0000847559401613, 0.000187979103713, 0.000236914967012, 0.000273173774979, 0.000349135183709
K07091, 0.0005268193700739277, 0.7097902097902097, 0.0000114784600854, 0.0000315650110915, 0.0000340502565927, 0.0000501118258092, 0.000213410490908, 0.0000270758932931, 0.0000742013271134, 0.000111909017003, 0.000159130675022, 0.000255609107373
K03748, 0.0005268193700739277, 0.7097902097902096, 0.00000341421874636, 0.000108762578798, 0.000132393461565, 0.000203111601483, 0.000307252614451, 0.0000285903780993, 0.0000485856745938, 0.0000678662817647, 0.000085632886385, 0.000177813752171
K13667, 0.000726659306559907, 0.6958041958041956, 0, 0, 0.00000114610738001, 0.0000058874440265, 0.0000116695370557, 0, 0.00000665739909963, 0.0000128945524641, 0.0000240690434719, 0.0000776286776924
K05301, 0.000726659306559907, 0.6958041958041956, 0, 0, 0, 0, 0.0000183693598087, 0, 0.00000283736796378, 0.0000087800920402, 0.0000116531818784, 0.0000202775294195
K05574, 0.000726659306559907, 0.6958041958041956, 0, 0, 0.0000034513053727, 0.0000133040884836, 0.0000324564141244, 0.00000761043334934, 0.0000238272684107, 0.000030956017426, 0.0000465000013717, 0.000104114233893
