Column Name, P-value, KS Score, Group 1 Min, Group 1 Q1, Group 1 Median, Group 1 Q3, Group 1 Max, Group 2 Min, Group 2 Q1, Group 2 Median, Group 2 Q3, Group 2 Max
K13683, 2.9848346017047334e-12, 0.9672131147540979, 0, 0.00000292891036946, 0.0000107487023377, 0.0000337428553669, 0.0000565143423206, 0, 0.000148957937658, 0.000398501913666, 0.000585096139472, 60
K08676, 8.293921105462232e-12, 0.950819672131147, 0, 1.52463015629e-7, 0.00000501509429365, 0.0000172213668226, 0.0000268065317801, 0, 0.0000975880100142, 0.000254354343258, 0.000410621670108, 59
K02014, 8.293921105462232e-12, 0.950819672131147, 0.0000180973991757, 0.0000460093320551, 0.000180162328799, 0.000567754278987, 0.000874515216299, 0.0000180973991757, 0.00370005808604, 0.00667126556129, 0.0104824651863, 62
K01991, 8.293921105462232e-12, 0.950819672131147, 0, 0.00000439927933828, 0.0000108767962845, 0.0000713869492743, 0.000107504198986, 0, 0.000341168857607, 0.000615573955205, 0.000988130463669, 58
K09758, 1.9628632053070305e-11, 0.9344262295081963, 0, 0, 0.00000615972016133, 0.0000202415734008, 0.0000300535406694, 0, 0.0000821916748761, 0.000232831352859, 0.000364618047105, 54
K01565, 1.9628632053070305e-11, 0.9344262295081963, 0, 0, 0.00000143257785845, 0.0000242112323762, 0.0000472740357722, 0, 0.000174825442113, 0.00041433879793, 0.00077403159866, 54
K12344, 1.9628632053070305e-11, 0.9344262295081963, 0, 0, 0, 0.0000171696376421, 0.0000275521675182, 0, 0.000108345529734, 0.00023764344137, 0.00039832942383, 51
K11356, 1.9628632053070305e-11, 0.9344262295081963, 0, 5.40536012025e-7, 0.00000878785936644, 0.0000169902935213, 0.0000386969754449, 0, 0.000124524486553, 0.000255102214303, 0.000441134807766, 59
K12374, 1.9628632053070305e-11, 0.9344262295081963, 0, 0, 8.35019832074e-7, 0.00000527343526184, 0.00000884172712182, 0, 0.0000337070719743, 0.00009178391541, 0.000184965527684, 53
K07165, 1.9628632053070305e-11, 0.9344262295081963, 0, 0, 0.00000441304932875, 0.0000736747701529, 0.000136219893918, 0, 0.00110246399971, 0.00181912871431, 0.00328965701625, 54
K03530, 1.9628632053070305e-11, 0.9344262295081963, 0.000252239598726, 0.000342071270903, 0.000380261349205, 0.000431452144581, 0.000538281980901, 0.0000575204502521, 0.00100761292718, 0.00125875045473, 0.00155126198691, 62
K12340, 1.9628632053070305e-11, 0.9344262295081963, 0, 0.00000202686333337, 0.0000200010417371, 0.000121302450963, 0.000203399671598, 0, 0.000748035243707, 0.00142585224931, 0.00214638893141, 59
K07713, 1.9628632053070305e-11, 0.9344262295081963, 0.0000129838583445, 0.0000361842053358, 0.000053980300486, 0.000144321231619, 0.000271394023219, 0.0000129838583445, 0.000638298029897, 0.00104274900897, 0.00150049231623, 62
K01284, 1.9628632053070305e-11, 0.9344262295081963, 0, 0, 0.00000450239209422, 0.0000344212134679, 0.0000615506937073, 0, 0.000202455592137, 0.000380269886421, 0.000551718742457, 57
K04764, 1.9628632053070305e-11, 0.9344262295081963, 0, 0, 0.00000730431013104, 0.0000230036727058, 0.0000748346843036, 0, 0.000174923551016, 0.000317257451145, 0.000403352520101, 57
K07221, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 0, 0.0000139690728531, 0.0000280754909826, 0, 0.000107884508287, 0.00023603747408, 0.000380938705075, 51
K01235, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 0.00000242218508963, 0.00000761754195584, 0.0000105583232349, 0, 0.0000305641552929, 0.0000992702397145, 0.000211452886036, 55
K09789, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 0, 0.00000709702466734, 0.0000131263403671, 0, 0.0000392912535974, 0.000104497734814, 0.000189093433962, 50
K08717, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 0, 9.95749584998e-7, 0.00000514116564799, 0, 0.0000180172206393, 0.0000451892812915, 0.000109185968254, 49
K02508, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 0.0000103949804191, 0.0000636189182024, 0.000131702508474, 0, 0.000297216459854, 0.000676673584163, 0.00112481106142, 56
K03287, 4.5794812386645845e-11, 0.9180327868852455, 0, 0.00000240674575982, 0.0000240257465038, 0.000147169001953, 0.000257446053875, 0, 0.00104545478365, 0.00172573005855, 0.00256297617034, 60
K01136, 4.5794812386645845e-11, 0.9180327868852455, 0.00000304022622976, 0.0000141952471579, 0.0000289201916575, 0.0000781552668144, 0.000126553835823, 0.00000304022622976, 0.000334081775281, 0.000691034316939, 0.0012719248893, 62
K09011, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 0.00000134055904655, 0.0000118742144745, 0.000019853936701, 0, 0.000066820627556, 0.000152955112779, 0.000218731179867, 53
K01277, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 4.50768570191e-7, 0.0000134746341682, 0.0000262232093745, 0, 0.000100209667201, 0.000218056434086, 0.000286805905751, 53
K00214, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 5.07388159444e-7, 0.00000668511437212, 0.00000813485617418, 0, 0.0000277342299553, 0.0000903708381656, 0.000167798855046, 53
K13195, 4.5794812386645845e-11, 0.9180327868852455, 0, 0, 0, 0.00000576244782332, 0.0000119666655365, 0, 0.0000521449045387, 0.000106896320609, 0.000195727660814, 51
