Column Name, P-value, KS Score, Group 1 Min, Group 1 Q1, Group 1 Median, Group 1 Q3, Group 1 Max, Group 2 Min, Group 2 Q1, Group 2 Median, Group 2 Q3, Group 2 Max
CD.SRS301867, 5.374589662210383e-13, 0.8716691804927074, 0, 0, 0.00000500353090389429, 0.0000617942902237525, 0.00359463416973814, 0.000021695813553127, 0.00027894313613852, 0.000528502865503576, 0.000953393644009413, 0.00513582791579848
CD.SRS301875, 5.374589662210383e-13, 0.861676721970837, 0, 0.00000432517318265389, 0.0000146671152859896, 0.0000749458834898082, 0.00235370668966072, 0.0000439835013535825, 0.000299822902514863, 0.000485306912439641, 0.000839741609022601, 0.00549871163918068
CD.SRS301871, 5.374589662210383e-13, 0.8421945701357441, 0, 0.0000148860754425317, 0.0000288540175244404, 0.0000896599176395353, 0.0053515801698459, 0.0000668790879779037, 0.000283900109943276, 0.000472465776449021, 0.000886539191698843, 0.00544332046497171
CD.SRS301876, 5.374589662210383e-13, 0.8394922071392635, 0, 0.00000371125945558948, 0.0000130667969914668, 0.0000656820239020999, 0.00382070467714289, 0.0000454664219710742, 0.00027712785065335, 0.000499219271110491, 0.000935366120744136, 0.00479444859728584
CD.SRS301877, 5.374589662210383e-13, 0.8362870789341353, 0, 0, 0.0000238844696819153, 0.0000820981046553859, 0.00347130539106454, 0.0000268694912703231, 0.000288797485215555, 0.000495870543013363, 0.000852425681050685, 0.00472887288172103
CD.SRS301872, 5.374589662210383e-13, 0.819255907491199, 0, 0.0000012783970477046, 0.0000100345655352038, 0.0000626256616211793, 0.00317542616291049, 0.000062251463862341, 0.000305056588894899, 0.000504199350408871, 0.000832721175587452, 0.00482651123412365
CD.SRS301870, 5.374589662210383e-13, 0.8168049270990423, 0, 0, 0.0000170487460594567, 0.0000857021569440722, 0.00416098030580585, 0.0000880233361693541, 0.000281186760856137, 0.000479323626338, 0.000830312758118267, 0.00432595901703471
CD.SRS301873, 5.374589662210383e-13, 0.8096405228758145, 0, 0.00000102461600747388, 0.00000674349674606812, 0.0000708818118359425, 0.00478856426059444, 0.0000217019351001581, 0.000300075490097389, 0.000473856654091742, 0.000928791560324426, 0.00572251538174834
HE.SRS013215, 5.374589662210383e-13, 0.7986425339366495, 0.0000388384022203564, 0.00021167212553026, 0.000378905567698073, 0.000802862521812159, 0.0152339297980316, 0, 0, 0.00000116089793349377, 0.0000392741269088674, 0.00198497294305375
CD.SRS301869, 5.374589662210383e-13, 0.7946204122674688, 0, 0, 0.0000125367305710536, 0.0000780585748283592, 0.0057089616033064, 0.0000523780725274683, 0.000245287322335627, 0.000440482505596871, 0.00085946165768546, 0.00507542812372387
CD.SRS301878, 5.374589662210383e-13, 0.7914152840623406, 0, 0, 0.00000260388616995982, 0.0000470976765554342, 0.00321702115945162, 0.00007035800291317, 0.000288783686178002, 0.0004630097323631, 0.00095253099336609, 0.00500761290808256
CD.SRS301879, 5.374589662210383e-13, 0.7842508798391127, 0, 0.00000832419166003057, 0.0000319853123375301, 0.0000964638130223067, 0.0035789527983129, 0.0000910612639257028, 0.000278284739938881, 0.000466776458341604, 0.000746307234817907, 0.00419442243203849
HE.SRS022713, 5.374589662210383e-13, 0.7782805429864235, 0.0000612341115792437, 0.000223672548532718, 0.000420984355661972, 0.000848218154821295, 0.0145789933182955, 0, 0, 0.00000686243024563202, 0.0000768574237482476, 0.0014234195960558
HE.SRS011452, 5.374589662210383e-13, 0.7781548516842616, 0.0000398145796851357, 0.000216469094585289, 0.000387788570429348, 0.000754443383640252, 0.0150791101759059, 0, 0, 0, 0.0000625556017335835, 0.00190562385904766
CD.SRS301865, 5.374589662210383e-13, 0.7746354952237281, 0, 0.00000943672719776344, 0.0000400155651393579, 0.00011429731888877, 0.00270512019923502, 0.0000263015037858291, 0.00029115219767619, 0.000493651182521543, 0.000763351977943574, 0.00463589056327001
HE.SRS012902, 5.374589662210383e-13, 0.771995977878329, 0.0000467183922698749, 0.000237696238860283, 0.000411720905616085, 0.000806542187806489, 0.0147350951797737, 0, 0, 0, 0.000048152191062281, 0.0015775675999151
HE.SRS013158, 5.374589662210383e-13, 0.7684137757667151, 0.0000378944324343893, 0.000212191661698205, 0.000390865717326578, 0.000774617505110346, 0.0119626279761344, 0, 0.00000632462312800418, 0.0000151378226966682, 0.000088294816345161, 0.00130973222096206
CD.SRS301868, 5.374589662210383e-13, 0.7529537456008023, 0, 3.86561528142403e-7, 0.00000863290708020795, 0.0000739542854848316, 0.00531080216901928, 0.0000376977833054156, 0.00024939544105184, 0.0004423362019031, 0.000886672859347369, 0.00443301642979817
LS004, 5.374589662210383e-13, 0.7291352438411238, 0.00000290470055192098, 0.0000318900322622656, 0.0000693056297063017, 0.000158748659761163, 0.00311266045154276, 0.0000411826718983793, 0.000274082950036168, 0.000375274349985062, 0.000713463776084358, 0.00344856119470535
LS002, 5.374589662210383e-13, 0.7260558069381575, 0, 0.0000324770313671007, 0.00006254241298119, 0.000161692767336601, 0.00319374824556711, 0.000074953001251142, 0.000262096278100289, 0.000395008240925433, 0.000723169876519187, 0.00381691475534541
HE.SRS011405, 5.374589662210383e-13, 0.722787833081949, 0.0000424387296407255, 0.000199194526210355, 0.000357259492618823, 0.000758740413146431, 0.0108990416425566, 0, 0.0000185265394663512, 0.0000408153893072376, 0.0000987453099685816, 0.0020073118056834
